Index,Object Title,Museum_Id,Artist,Year,Object Type,Image
1,Jeanne Hébuterne,1,Amedeo Modigliani,1919,paintings,"/wiki/File:Amedeo_Modigliani,_1919,_Jeanne_H%C3%A9buterne,_oil_on_canvas,_91.4_x_73_cm,_Metropolitan_Museum_of_Art.jpg"
2,Cow,1,Arthur Dove,1914,paintings,"/wiki/File:Arthur_Dove,_Cow,_1914,_pastel_on_canvas,_45.1_x_54.6_cm,_Metropolitan_Museum_of_Art.jpg"
3,The Musicians,1,Caravaggio,1595,paintings,/wiki/File:Caravaggio_-_I_Musici.jpg
4,I Saw the Figure 5 in Gold,1,Charles Demuth,1928,paintings,/wiki/File:NY_Met_demuth_figure_5_gold.JPG
5,"The Four Trees, (Four Poplars on the Banks of the Epte River near Giverny)",1,Claude Monet,1891,paintings,/wiki/File:1891_Monet_The_four_trees_anagoria.JPG
6,The Houses of Parliament (Effect of Fog),1,Claude Monet,1903–1904,paintings,/wiki/File:The_Houses_of_Parliament_(Effect_of_Fog).JPG
7,The Dancing Class,1,Edgar Degas,1872,paintings,/wiki/File:Edgar_Degas_-_Chasse_de_danse.jpg
8,Opening of the Fifth Seal,1,El Greco,1608–1614,paintings,"/wiki/File:El_Greco,_The_Vision_of_Saint_John_(1608-1614).jpg"
9,Christ Asleep during the Tempest,1,Eugène Delacroix,1853,paintings,/wiki/File:Eug%C3%A8ne_Delacroix_-_Christ_Endormi_pendant_la_Temp%C3%AAte.jpg
10,Manuel Osorio Manrique de Zúñiga,1,Francisco Goya,1777–1778,paintings,/wiki/File:Don_Manuel_Osorio_Manrique_de_Z%C3%BA%C3%B1iga.jpg
11,Still Life with Mandola and Metronome,1,Georges Braque,1909,paintings,"/wiki/File:Georges_Braque,_1909,_Still_Life_with_Metronome_(Still_Life_with_Mandola_and_Metronome),_oil_on_canvas,_81_x_54.1_cm,_Metropolitan_Museum_of_Art.jpg"
12,The Fortune Teller,1,Georges de La Tour,1630,paintings,/wiki/File:Georges_de_La_Tour_016.jpg
13,The Young Sailor II,1,Henri Matisse,1906,paintings,/wiki/File:Young_Sailor_II.jpg
14,The Repast of the Lion,1,Henri Rousseau,1907,paintings,/wiki/File:Rousseau_theRepastOfTheLion.jpg
15,The Grand Canal,1,J.M.W. Turner,1835,paintings,"/wiki/File:Joseph_Mallord_William_Turner_-_The_Grand_Canal,_Venice_-_WGA23173.jpg"
16,Crucifixion and Last Judgement diptych,1,Jan van Eyck,1430–1440,paintings,/wiki/File:Jan_van_Eyck_-_Diptych_-_WGA07587.jpg
17,The Princesse de Broglie,1,Jean-Auguste-Dominique Ingres,1851–1853,paintings,/wiki/File:Jean_auguste_dominique_ingres_princesse_albert_de_broglieFXD.jpg
18,Woman with a Lute,1,Johannes Vermeer,1662,paintings,/wiki/File:Vermeer_-_Woman_with_a_Lute_near_a_window.jpg
19,Portrait of Madame X,1,John Singer Sargent,1884,paintings,/wiki/File:Sargent_MadameX.jpeg
20,Jeanne d'Arc (Joan of Arc),1,Jules Bastien-Lepage,1879,paintings,/wiki/File:JoanOfArcLarge.jpeg
21,Phoenician metal bowl from ,1,NaN,725 to 675 BCE,object,/wiki/File:Silver-gilt_bowl_MET_gr74.51.4554.R.jpg
22,Tabernacle of Cherves,1,NaN,1220,object,/wiki/File:WLA_metmuseum_Tabernacle_of_Cherves_2.jpg
23,Scuola di biduino,1,NaN,1170,object,"/wiki/File:Scuola_di_biduino,_portale_da_san_leonardo_al_frigido,_vicino_massa_carrara,_1170-1180_circa_01.JPG"
24,Tomb of Ermengol IX of Urgell ,1,NaN,1243,object,/wiki/File:Tomb_of_Ermengol_IX.jpg
25,Serpent labret with articulated tongue,1,NaN,1300,object,/wiki/File:Serpent_Labret_with_Articulated_Tongue_MET_DP-478-022.jpg
26,Attributed to Jean de Touyl ,1,NaN,1349,object,/wiki/File:1325-50_Touyl_Reliquienschrein_anagoria.JPG
27,Attributed to Jean Le Noir,1,NaN,14th cen.,object,"/wiki/File:4_Jean_Le_Noir._Miniature_from_Psalter_of_Bonne_of_Luxemburg_1348-49_Metropolitan_Museum,_N-Y.jpg"
28,Andrea da Giona,1,NaN,1434,object,"/wiki/File:Andrea_da_giona,_altarpiece_with_christ_in_mayesty,_s._john_the_b.,_s._margareth,_liguria,_1434.JPG"
29,Schwaben,1,NaN,1489,object,"/wiki/File:Die_Heiligen_Drei_K%C3%B6nige._Mythos,_Kunst_und_Kult_-_Museum_Schn%C3%BCtgen-0989.jpg"
30,Andre-Charles Boulle ,1,NaN,1642,object,/wiki/File:Commode_MET_DT8913.jpg
31,Interior of the early colonial home of John Wentworth,1,NaN,NaN,object,/wiki/File:Cane_armchair_MET_ADA3722.jpg
32,Standing male worshiper,1,NaN,2750,object,/wiki/File:Standing_male_worshiper_MET_DT850.jpg
33,Sphinx,1,NaN,530,object,/wiki/File:Sphinx_MET_11.185.jpg
34,Busto de Anicia Iuliana,1,NaN,NaN,object,/wiki/File:Marble_Portrait_Bust_of_a_Woman_with_a_Scroll_MET_cl66.25.R.jpg
35,Roman,1,NaN,430,object,/wiki/File:Diadumenos_fragments_Met_25.78.56_n01.jpg
36,Book Cover with Byzantine Icon of the Crucifixion,1,NaN,1085,object,/wiki/File:WLA_metmuseum_Book_Cover_with_Byzantine_Icon_of_the_Crucifixion_6.jpg
37,Cross of San Salvador de Fuentes,1,NaN,11th – early 12th century,object,/wiki/File:Processional_Cross_MET_DT154.jpg
38,Khatchkar,1,NaN,NaN,object,/wiki/File:NYC_Khatchkar_Metropolitan.JPG
39,Alpan carpet,1,NaN,1800s,object,/wiki/File:Metropoliten_muzeyind%C9%99_1800-c%C3%BC_ill%C9%99r%C9%99_aid_Quba_xal%C3%A7as%C4%B1.jpeg
40,The Crucified Christ,1,NaN,1300,object,/wiki/File:WLA_metmuseum_1300_crucified_Christ.jpg
41,Doorway in granite,1,NaN,15th c.,object,"/wiki/File:Porte_du_XV_%C3%A8_si%C3%A8cle,_provenant_d%27Aixe_sur_Vienne,_The_Cloisters,_New-York.JPG"
